junctions;crossroads;deadends;;;;;;;;;;;
0.0969;0.0013;0.0997;;;DFS;;;;;;;;
0.0971;0.0011;0.0995;;;Junctions;;;Crossroads;;;Deadends;;
0.0939;0.0013;0.0967;;;Média;Máximo;Mínimo;Média;Máximo;Mínimo;Média;Máximo;Mínimo
0.0943;0.0023;0.0991;;;0.096580667;0.1011;0.0923;0.001746333;0.0029;0.0006;0.100273333;0.1053;0.0955
0.0962;0.0014;0.0992;;;;;;;;;;;
0.0978;0.0018;0.1016;;;;;;;;;;;
0.0961;0.0017;0.0997;;;;;;;;;;;
0.0952;0.0015;0.0984;;;;;;;;;;;
0.0937;0.0017;0.0973;;;;;;;;;;;
0.0963;0.0017;0.0999;;;;;;;;;;;
0.0984;0.0013;0.1012;;;;;;;;;;;
0.0959;0.0024;0.1009;;;;;;;;;;;
0.0947;0.0023;0.0995;;;;;;;;;;;
0.0961;0.0021;0.1005;;;;;;;;;;;
0.0985;0.0016;0.1019;;;;;;;;;;;
0.0949;0.0013;0.0977;;;;;;;;;;;
0.0968;0.0022;0.1014;;;;;;;;;;;
0.099;0.0016;0.1024;;;;;;;;;;;
0.0992;0.0016;0.1026;;;;;;;;;;;
0.0958;0.0019;0.0998;;;;;;;;;;;
0.0971;0.0016;0.1005;;;;;;;;;;;
0.0968;0.0012;0.0994;;;;;;;;;;;
0.0985;0.0015;0.1017;;;;;;;;;;;
0.0956;0.0019;0.0996;;;;;;;;;;;
0.0978;0.001;0.1;;;;;;;;;;;
0.1005;0.001;0.1027;;;;;;;;;;;
0.0957;0.0017;0.0993;;;;;;;;;;;
0.0962;0.0016;0.0996;;;;;;;;;;;
0.0966;0.0018;0.1004;;;;;;;;;;;
0.0962;0.0015;0.0994;;;;;;;;;;;
0.0941;0.0015;0.0973;;;;;;;;;;;
0.0952;0.0016;0.0986;;;;;;;;;;;
0.094;0.0021;0.0984;;;;;;;;;;;
0.0945;0.0016;0.0979;;;;;;;;;;;
0.0973;0.0018;0.1011;;;;;;;;;;;
0.0952;0.0017;0.0988;;;;;;;;;;;
0.0977;0.0021;0.1021;;;;;;;;;;;
0.0963;0.0013;0.0991;;;;;;;;;;;
0.0966;0.0012;0.0992;;;;;;;;;;;
0.0944;0.0019;0.0984;;;;;;;;;;;
0.097;0.0021;0.1014;;;;;;;;;;;
0.0983;0.0006;0.0997;;;;;;;;;;;
0.0973;0.0014;0.1003;;;;;;;;;;;
0.0941;0.0022;0.0987;;;;;;;;;;;
0.0977;0.0022;0.1023;;;;;;;;;;;
0.0966;0.0017;0.1002;;;;;;;;;;;
0.0957;0.0019;0.0997;;;;;;;;;;;
0.095;0.001;0.0972;;;;;;;;;;;
0.0947;0.0026;0.1001;;;;;;;;;;;
0.094;0.0024;0.099;;;;;;;;;;;
0.0933;0.0018;0.0971;;;;;;;;;;;
0.1007;0.0021;0.1051;;;;;;;;;;;
0.0952;0.0019;0.0992;;;;;;;;;;;
0.0969;0.0015;0.1001;;;;;;;;;;;
0.0988;0.001;0.101;;;;;;;;;;;
0.0967;0.0015;0.0999;;;;;;;;;;;
0.0972;0.0017;0.1008;;;;;;;;;;;
0.0977;0.0014;0.1007;;;;;;;;;;;
0.0958;0.002;0.1;;;;;;;;;;;
0.0974;0.0024;0.1024;;;;;;;;;;;
0.0988;0.0016;0.1022;;;;;;;;;;;
0.0973;0.0019;0.1013;;;;;;;;;;;
0.0966;0.0024;0.1016;;;;;;;;;;;
0.0966;0.0023;0.1014;;;;;;;;;;;
0.0949;0.0024;0.0999;;;;;;;;;;;
0.0966;0.0014;0.0996;;;;;;;;;;;
0.0962;0.0014;0.0992;;;;;;;;;;;
0.0963;0.0014;0.0993;;;;;;;;;;;
0.0934;0.0025;0.0986;;;;;;;;;;;
0.0965;0.0017;0.1001;;;;;;;;;;;
0.0994;0.0017;0.103;;;;;;;;;;;
0.0947;0.0015;0.0979;;;;;;;;;;;
0.0985;0.0015;0.1017;;;;;;;;;;;
0.0961;0.0025;0.1013;;;;;;;;;;;
0.0976;0.0014;0.1006;;;;;;;;;;;
0.0947;0.002;0.0989;;;;;;;;;;;
0.0979;0.0018;0.1017;;;;;;;;;;;
0.0961;0.0014;0.0991;;;;;;;;;;;
0.0967;0.0018;0.1005;;;;;;;;;;;
0.0995;0.0012;0.1021;;;;;;;;;;;
0.0969;0.0009;0.0989;;;;;;;;;;;
0.0983;0.0015;0.1015;;;;;;;;;;;
0.0961;0.0024;0.1011;;;;;;;;;;;
0.0955;0.0011;0.0979;;;;;;;;;;;
0.0967;0.0015;0.0999;;;;;;;;;;;
0.0952;0.0015;0.0984;;;;;;;;;;;
0.0986;0.0019;0.1026;;;;;;;;;;;
0.0961;0.0016;0.0995;;;;;;;;;;;
0.0982;0.0019;0.1022;;;;;;;;;;;
0.0984;0.002;0.1026;;;;;;;;;;;
0.0948;0.0018;0.0986;;;;;;;;;;;
0.0972;0.0016;0.1006;;;;;;;;;;;
0.094;0.0014;0.097;;;;;;;;;;;
0.0993;0.0019;0.1033;;;;;;;;;;;
0.0966;0.0018;0.1004;;;;;;;;;;;
0.0974;0.0012;0.1;;;;;;;;;;;
0.0976;0.0024;0.1026;;;;;;;;;;;
0.0969;0.0016;0.1003;;;;;;;;;;;
0.0973;0.0014;0.1003;;;;;;;;;;;
0.098;0.0022;0.1026;;;;;;;;;;;
0.0987;0.0017;0.1023;;;;;;;;;;;
0.0944;0.0015;0.0976;;;;;;;;;;;
0.0974;0.0014;0.1004;;;;;;;;;;;
0.0987;0.002;0.1029;;;;;;;;;;;
0.0991;0.002;0.1033;;;;;;;;;;;
0.1011;0.002;0.1053;;;;;;;;;;;
0.0943;0.002;0.0985;;;;;;;;;;;
0.1003;0.002;0.1045;;;;;;;;;;;
0.095;0.0016;0.0984;;;;;;;;;;;
0.0971;0.0021;0.1015;;;;;;;;;;;
