junctions;crossroads;deadends
0.2295;0.0623;0.3543
0.2376;0.0599;0.3576
0.2281;0.0631;0.3545
0.2359;0.0598;0.3557
0.2359;0.0598;0.3557
0.2286;0.0586;0.346
0.2274;0.064;0.3556
0.2342;0.0593;0.353
0.2312;0.0621;0.3556
0.2328;0.0608;0.3546
0.2303;0.0624;0.3553
0.2341;0.0623;0.3589
0.235;0.0589;0.353
0.2321;0.0631;0.3585
0.2337;0.0602;0.3543
0.2327;0.0598;0.3525
0.2304;0.065;0.3606
0.2318;0.0622;0.3564
0.2297;0.061;0.3519
0.2277;0.0644;0.3567
0.2368;0.061;0.359
0.2352;0.0633;0.362
0.235;0.0641;0.3634
0.236;0.0603;0.3568
0.2316;0.0622;0.3562
0.2308;0.064;0.359
0.2299;0.0614;0.3529
0.2367;0.0599;0.3567
0.2317;0.0624;0.3567
0.2345;0.0613;0.3573
0.2241;0.064;0.3523
0.2345;0.0603;0.3553
0.2346;0.0604;0.3556
0.2358;0.0613;0.3586
0.2326;0.0607;0.3542
0.2316;0.0625;0.3568
0.2291;0.0619;0.3531
0.2396;0.0598;0.3594
0.2353;0.062;0.3595
0.2334;0.0592;0.352
0.2346;0.059;0.3528
0.2332;0.0598;0.353
0.2304;0.0643;0.3592
0.2338;0.0594;0.3528
0.2305;0.0611;0.3529
0.2365;0.0587;0.3541
0.2357;0.0618;0.3595
0.2347;0.0602;0.3553
0.2401;0.0585;0.3573
0.2374;0.0599;0.3574
0.2306;0.0636;0.358
0.2398;0.0576;0.3552
0.2376;0.0591;0.356
0.239;0.057;0.3532
0.2353;0.0609;0.3573
0.2356;0.0603;0.3564
0.2352;0.0616;0.3586
0.2372;0.0578;0.353
0.2366;0.0572;0.3512
0.2317;0.0633;0.3585
0.2359;0.0613;0.3587
0.2337;0.0603;0.3545
0.2343;0.0616;0.3577
0.2343;0.0615;0.3575
0.2282;0.0632;0.3548
0.2308;0.0626;0.3562
0.2351;0.0615;0.3583
